dep_delay,arr_delay,taxi_out,distance,air_time,Cluster
-6.0,-12.0,16.0,1107.0,163.0,2
-9.0,-14.0,30.0,1085.0,149.0,2
38.0,26.0,12.0,192.0,38.0,2
-3.0,-7.0,16.0,1874.0,231.0,0
19.0,10.0,17.0,1389.0,185.0,0
68.0,73.0,30.0,925.0,125.0,1
25.0,16.0,10.0,602.0,83.0,2
-9.0,-14.0,13.0,546.0,85.0,2
-8.0,-20.0,17.0,391.0,62.0,2
-6.0,-5.0,18.0,356.0,60.0,2
1.0,17.0,19.0,2688.0,332.0,0
-4.0,-7.0,12.0,853.0,137.0,2
-8.0,-17.0,15.0,967.0,127.0,2
0.0,43.0,52.0,774.0,112.0,1
-9.0,-6.0,20.0,235.0,47.0,2
-7.0,-19.0,9.0,515.0,74.0,2
11.0,2.0,14.0,2300.0,252.0,0
-7.0,-8.0,14.0,852.0,125.0,2
7.0,14.0,6.0,646.0,102.0,2
-10.0,-22.0,12.0,737.0,106.0,2
-3.0,2.0,16.0,102.0,22.0,2
6.0,-5.0,19.0,834.0,109.0,2
8.0,-7.0,12.0,583.0,87.0,2
-7.0,-12.0,26.0,482.0,72.0,2
-5.0,-1.0,25.0,708.0,119.0,2
-10.0,-16.0,12.0,1313.0,165.0,0
17.0,26.0,22.0,670.0,100.0,2
-5.0,17.0,25.0,772.0,121.0,2
78.0,58.0,15.0,631.0,77.0,2
4.0,27.0,55.0,2149.0,270.0,0
-3.0,-5.0,10.0,895.0,137.0,2
18.0,11.0,30.0,1829.0,204.0,0
-7.0,-2.0,19.0,309.0,55.0,2
-4.0,0.0,17.0,1061.0,140.0,2
43.0,45.0,15.0,134.0,30.0,2
10.0,9.0,14.0,602.0,98.0,2
0.0,-20.0,17.0,862.0,110.0,2
-3.0,-15.0,11.0,345.0,58.0,2
-5.0,-3.0,33.0,251.0,45.0,2
2.0,-23.0,12.0,1199.0,158.0,2
0.0,11.0,40.0,227.0,43.0,1
-3.0,-25.0,13.0,200.0,34.0,2
0.0,8.0,17.0,973.0,130.0,2
21.0,16.0,16.0,562.0,78.0,2
11.0,4.0,12.0,223.0,43.0,2
-8.0,-28.0,11.0,925.0,115.0,2
35.0,26.0,16.0,335.0,57.0,2
-5.0,-5.0,11.0,821.0,106.0,2
8.0,-12.0,10.0,1426.0,163.0,0
167.0,140.0,10.0,925.0,120.0,1
-6.0,-13.0,20.0,322.0,57.0,2
-6.0,-26.0,14.0,230.0,43.0,2
2.0,3.0,18.0,867.0,118.0,2
-5.0,-7.0,35.0,577.0,77.0,2
-2.0,-1.0,12.0,1506.0,175.0,0
70.0,65.0,14.0,472.0,73.0,2
-2.0,-13.0,16.0,482.0,71.0,2
30.0,53.0,38.0,326.0,54.0,1
-1.0,-8.0,19.0,468.0,67.0,2
95.0,121.0,51.0,862.0,109.0,1
5.0,1.0,19.0,1489.0,174.0,0
-6.0,-9.0,38.0,746.0,97.0,1
11.0,0.0,13.0,2584.0,351.0,0
-4.0,-29.0,17.0,1491.0,187.0,0
7.0,-22.0,16.0,1620.0,207.0,0
-1.0,-7.0,12.0,874.0,144.0,2
-2.0,-17.0,14.0,695.0,100.0,2
-2.0,4.0,37.0,754.0,121.0,1
-1.0,8.0,50.0,533.0,81.0,1
-14.0,-20.0,12.0,482.0,72.0,2
-2.0,-23.0,14.0,812.0,120.0,2
19.0,12.0,21.0,2133.0,254.0,0
-6.0,-23.0,9.0,721.0,99.0,2
-3.0,-17.0,9.0,426.0,59.0,2
-6.0,-13.0,12.0,474.0,78.0,2
285.0,268.0,20.0,913.0,114.0,1
-4.0,-10.0,15.0,2065.0,287.0,0
-5.0,-17.0,16.0,1246.0,149.0,2
16.0,4.0,19.0,1121.0,140.0,2
-8.0,-17.0,22.0,268.0,49.0,2
60.0,57.0,10.0,1107.0,156.0,2
-4.0,-9.0,23.0,1235.0,169.0,0
15.0,3.0,19.0,581.0,81.0,2
-10.0,-7.0,26.0,553.0,80.0,2
-2.0,-28.0,11.0,1475.0,174.0,0
-4.0,-16.0,15.0,413.0,70.0,2
-1.0,2.0,18.0,689.0,90.0,2
-8.0,-14.0,17.0,259.0,46.0,2
-5.0,-10.0,12.0,505.0,71.0,2
-4.0,6.0,16.0,1012.0,135.0,2
18.0,9.0,23.0,416.0,63.0,2
-3.0,-10.0,15.0,214.0,40.0,2
-3.0,2.0,38.0,460.0,68.0,1
21.0,12.0,23.0,689.0,98.0,2
1.0,-2.0,19.0,762.0,116.0,2
-10.0,1.0,16.0,669.0,105.0,2
-4.0,-3.0,18.0,432.0,69.0,2
-8.0,3.0,29.0,674.0,114.0,2
-1.0,7.0,11.0,795.0,120.0,2
-6.0,-4.0,26.0,148.0,32.0,2
-7.0,-11.0,17.0,364.0,56.0,2
36.0,16.0,15.0,468.0,65.0,2
-5.0,-13.0,12.0,907.0,135.0,2
-2.0,-17.0,13.0,604.0,86.0,2
-8.0,-24.0,13.0,728.0,93.0,2
-7.0,-44.0,20.0,1362.0,168.0,0
2.0,-22.0,10.0,928.0,98.0,2
-1.0,-5.0,8.0,1569.0,223.0,0
-8.0,-22.0,10.0,1075.0,124.0,2
1.0,0.0,12.0,163.0,29.0,2
-4.0,31.0,53.0,266.0,55.0,1
-5.0,1.0,29.0,447.0,69.0,2
-10.0,1.0,15.0,752.0,110.0,2
23.0,31.0,23.0,692.0,105.0,2
-6.0,-6.0,23.0,507.0,80.0,2
-8.0,-9.0,35.0,1250.0,181.0,0
-8.0,7.0,31.0,427.0,78.0,2
-9.0,-3.0,10.0,900.0,137.0,2
10.0,-22.0,13.0,2439.0,269.0,0
4.0,-4.0,15.0,495.0,73.0,2
64.0,51.0,13.0,837.0,115.0,2
-4.0,-16.0,14.0,113.0,23.0,2
-4.0,-1.0,20.0,507.0,77.0,2
-6.0,-25.0,10.0,763.0,103.0,2
-4.0,-12.0,11.0,1009.0,136.0,2
-6.0,-27.0,12.0,3329.0,348.0,0
-2.0,-10.0,13.0,391.0,58.0,2
3.0,-10.0,17.0,1005.0,124.0,2
-6.0,-24.0,19.0,679.0,88.0,2
10.0,21.0,25.0,226.0,46.0,2
5.0,-8.0,16.0,2329.0,308.0,0
-5.0,-1.0,33.0,435.0,71.0,2
-4.0,0.0,18.0,3365.0,374.0,0
-7.0,-14.0,18.0,368.0,54.0,2
-5.0,-6.0,14.0,826.0,124.0,2
0.0,-18.0,17.0,1674.0,198.0,0
42.0,48.0,25.0,292.0,52.0,1
-5.0,-15.0,14.0,106.0,25.0,2
-2.0,-13.0,10.0,669.0,93.0,2
-12.0,-15.0,18.0,240.0,41.0,2
20.0,37.0,15.0,577.0,82.0,2
9.0,19.0,43.0,301.0,57.0,1
104.0,93.0,9.0,721.0,91.0,1
-3.0,-13.0,10.0,337.0,53.0,2
0.0,-12.0,19.0,1521.0,176.0,0
-14.0,-25.0,17.0,377.0,63.0,2
-3.0,-20.0,9.0,427.0,67.0,2
36.0,34.0,26.0,368.0,56.0,2
62.0,60.0,24.0,1052.0,135.0,1
74.0,65.0,12.0,624.0,96.0,2
-6.0,-25.0,7.0,1185.0,145.0,2
-11.0,-25.0,36.0,1097.0,126.0,2
0.0,5.0,21.0,319.0,55.0,2
-6.0,-40.0,18.0,1721.0,223.0,0
-9.0,-20.0,16.0,369.0,67.0,2
-14.0,-8.0,31.0,201.0,37.0,2
19.0,-10.0,13.0,746.0,99.0,2
37.0,33.0,23.0,536.0,85.0,2
-2.0,-17.0,19.0,1085.0,149.0,2
-3.0,18.0,53.0,599.0,90.0,1
108.0,89.0,18.0,701.0,126.0,1
-3.0,-12.0,16.0,1107.0,142.0,2
29.0,30.0,22.0,361.0,67.0,2
9.0,-10.0,10.0,1062.0,141.0,2
-4.0,-30.0,15.0,1607.0,210.0,0
-5.0,-18.0,19.0,1360.0,181.0,0
-5.0,9.0,16.0,1068.0,145.0,2
-1.0,-9.0,16.0,405.0,62.0,2
-6.0,-17.0,10.0,743.0,94.0,2
-6.0,7.0,30.0,781.0,114.0,2
-6.0,-36.0,13.0,2614.0,338.0,0
36.0,30.0,13.0,680.0,86.0,2
-5.0,-11.0,12.0,1524.0,213.0,0
35.0,29.0,25.0,175.0,32.0,2
3.0,-5.0,11.0,1189.0,147.0,2
-6.0,-3.0,32.0,89.0,23.0,2
28.0,41.0,22.0,229.0,46.0,2
-6.0,-19.0,13.0,386.0,64.0,2
-6.0,5.0,21.0,772.0,96.0,2
3.0,-24.0,15.0,1124.0,162.0,2
53.0,35.0,11.0,306.0,50.0,2
-4.0,-18.0,6.0,192.0,42.0,2
0.0,-5.0,14.0,2086.0,281.0,0
-2.0,-14.0,13.0,547.0,76.0,2
0.0,-10.0,22.0,1562.0,220.0,0
-5.0,-6.0,23.0,337.0,53.0,2
-1.0,-2.0,20.0,350.0,63.0,2
-6.0,-13.0,20.0,413.0,60.0,2
2.0,-12.0,10.0,554.0,84.0,2
-3.0,-12.0,15.0,936.0,111.0,2
0.0,-3.0,17.0,259.0,47.0,2
32.0,13.0,14.0,1269.0,172.0,0
-10.0,-11.0,20.0,491.0,93.0,2
-6.0,-12.0,11.0,390.0,66.0,2
-7.0,-12.0,23.0,1085.0,161.0,2
-5.0,-5.0,29.0,888.0,147.0,2
9.0,18.0,18.0,1969.0,276.0,0
0.0,-18.0,11.0,879.0,103.0,2
-5.0,-8.0,19.0,1107.0,163.0,2
-5.0,-30.0,17.0,517.0,65.0,2
-5.0,-17.0,14.0,199.0,32.0,2
3.0,-7.0,20.0,334.0,64.0,2
-1.0,5.0,20.0,1781.0,250.0,0
2.0,5.0,23.0,1426.0,197.0,0
12.0,33.0,27.0,1145.0,159.0,2
49.0,30.0,10.0,587.0,77.0,2
12.0,8.0,10.0,1053.0,142.0,2
-6.0,-10.0,21.0,258.0,52.0,2
4.0,-13.0,18.0,1927.0,267.0,0
-5.0,-6.0,18.0,1199.0,152.0,2
-7.0,-15.0,12.0,393.0,75.0,2
-4.0,-17.0,16.0,350.0,59.0,2
-2.0,-11.0,18.0,140.0,29.0,2
0.0,-4.0,15.0,616.0,90.0,2
-3.0,-26.0,17.0,2586.0,281.0,0
53.0,73.0,60.0,1197.0,153.0,1
-3.0,-9.0,18.0,594.0,90.0,2
4.0,-9.0,15.0,1182.0,147.0,2
-4.0,-15.0,22.0,416.0,72.0,2
-1.0,-27.0,8.0,873.0,108.0,2
-4.0,-6.0,14.0,989.0,129.0,2
-6.0,7.0,19.0,577.0,79.0,2
106.0,96.0,18.0,279.0,46.0,1
-8.0,-10.0,15.0,444.0,73.0,2
-9.0,-14.0,12.0,1085.0,138.0,2
-4.0,-30.0,25.0,2454.0,316.0,0
-9.0,-24.0,11.0,386.0,64.0,2
-5.0,3.0,24.0,1235.0,185.0,0
0.0,23.0,13.0,1670.0,254.0,0
-2.0,-2.0,23.0,335.0,59.0,2
36.0,26.0,8.0,250.0,41.0,2
85.0,86.0,34.0,867.0,101.0,1
13.0,16.0,18.0,594.0,100.0,2
-3.0,12.0,18.0,547.0,74.0,2
-2.0,-4.0,16.0,451.0,67.0,2
-1.0,1.0,14.0,185.0,50.0,2
-9.0,-26.0,24.0,964.0,125.0,2
-4.0,-29.0,8.0,1235.0,182.0,0
-6.0,-14.0,14.0,1121.0,156.0,2
-6.0,-3.0,14.0,526.0,81.0,2
-9.0,-11.0,17.0,746.0,109.0,2
140.0,133.0,20.0,834.0,110.0,1
-15.0,-34.0,17.0,577.0,84.0,2
739.0,735.0,18.0,125.0,25.0,3
48.0,30.0,8.0,1442.0,165.0,0
0.0,15.0,33.0,544.0,90.0,1
-6.0,13.0,39.0,201.0,37.0,1
-2.0,-8.0,21.0,862.0,112.0,2
-9.0,-7.0,9.0,268.0,45.0,2
-3.0,-4.0,29.0,230.0,39.0,2
-11.0,-5.0,21.0,632.0,98.0,2
-7.0,-12.0,25.0,1065.0,145.0,2
-6.0,-15.0,15.0,140.0,30.0,2
87.0,103.0,42.0,236.0,42.0,1
-4.0,-10.0,12.0,126.0,29.0,2
9.0,41.0,55.0,472.0,64.0,1
2.0,-1.0,21.0,305.0,59.0,2
-11.0,-48.0,8.0,601.0,86.0,2
-3.0,-3.0,18.0,496.0,74.0,2
42.0,14.0,14.0,2717.0,367.0,0
70.0,60.0,11.0,632.0,96.0,2
27.0,17.0,9.0,377.0,62.0,2
130.0,143.0,33.0,474.0,72.0,1
-3.0,-17.0,16.0,153.0,26.0,2
15.0,4.0,18.0,461.0,59.0,2
7.0,0.0,13.0,1080.0,144.0,2
